recording_id,label,t_ms,ax,ay,az,gx,gy,gz
0,idle,0,0.05767,-0.02517,0.99745,-2.246,0.498,-0.401
0,idle,20,0.03749,-0.02582,0.99536,-0.012,0.687,2.062
0,idle,40,0.02827,0.00499,1.00083,-0.159,0.798,-2.18
0,idle,60,0.03558,0.05553,0.99543,0.566,2.388,1.661
0,idle,80,0.01298,0.00096,0.9476,-0.91,-1.374,1.314
0,idle,100,0.05511,0.01179,0.97238,-1.094,1.034,0.306
0,idle,120,0.03983,-0.01881,1.013,0.718,-0.94,-1.076
0,idle,140,0.03243,-0.01332,1.02664,-0.84,-0.711,-0.582
0,idle,160,0.04027,-0.0239,1.02853,-0.141,-2.134,-0.798
0,idle,180,0.06089,-0.05597,1.01706,0.262,-0.115,1.026
0,idle,200,0.08012,-0.03289,0.98876,-1.247,1.428,-0.85
0,idle,220,0.04042,0.02112,0.99788,1.982,1.213,-0.907
0,idle,240,0.05511,0.06899,1.00523,0.252,1.627,1.34
0,idle,260,0.0473,-0.06387,0.95095,3.384,-3.926,-0.726
0,idle,280,0.04378,0.01974,0.98967,-1.693,-0.227,2.135
0,idle,300,0.05816,0.00915,1.03915,-0.877,-0.149,1.761
0,idle,320,0.06097,0.07685,0.99144,2.043,-0.669,-0.546
0,idle,340,0.04378,0.00304,0.99934,-0.01,-0.134,0.266
0,idle,360,0.0789,0.01546,0.99756,0.485,2.619,-2.521
0,idle,380,0.06164,-0.03125,1.00227,-2.55,1.179,1.23
0,idle,400,0.02689,0.03241,0.98778,0.481,-2.354,-0.593
0,idle,420,0.04705,0.06599,0.98736,-1.302,-0.757,-0.084
0,idle,440,0.0447,0.02677,1.00176,1.05,1.911,0.914
0,idle,460,0.04756,0.07902,1.01331,0.476,-0.508,-0.91
0,idle,480,0.07339,0.0417,0.96547,0.449,0.345,-0.912
0,idle,500,0.05925,0.00451,0.96837,0.499,-2.0,-3.828
0,idle,520,0.05837,-0.0043,1.00976,-0.866,0.601,1.523
0,idle,540,0.02757,-0.0174,1.01917,-0.753,1.221,-1.451
0,idle,560,0.11412,0.05739,1.04482,-0.663,0.526,-0.736
0,idle,580,0.02801,-0.00865,1.01821,0.527,1.173,-0.109
0,idle,600,0.04651,-0.02923,1.0633,-1.305,-2.243,-0.82
0,idle,620,0.05128,0.06074,0.97803,-0.895,-0.007,-0.515
0,idle,640,0.02141,0.02334,1.02796,3.19,0.843,0.464
0,idle,660,0.01702,-0.04334,1.03067,2.157,0.048,2.015
0,idle,680,0.02657,-0.00585,0.95375,-0.5,0.675,2.283
0,idle,700,0.04325,0.03719,0.99461,1.244,0.007,-0.582
0,idle,720,-0.02767,0.06825,1.01241,0.461,-0.333,3.474
0,idle,740,0.07196,-0.04104,1.02075,2.377,-0.594,-1.976
0,idle,760,0.07087,-0.05155,1.0069,-1.155,-1.836,-3.035
0,idle,780,0.04841,-0.0319,0.98494,-0.393,-1.886,-1.46
0,idle,800,0.04998,0.00357,0.95669,0.234,0.375,-0.543
0,idle,820,0.02755,-0.04221,1.00377,-2.117,-0.185,2.459
0,idle,840,0.0218,-0.05577,1.03689,1.415,1.551,-1.069
0,idle,860,0.05523,-0.05798,1.01195,0.924,2.154,-1.586
0,idle,880,0.06927,-0.06186,1.00003,0.699,0.586,-3.059
0,idle,900,0.01866,-0.01909,1.03618,-1.279,2.707,-0.408
0,idle,920,0.04512,0.02062,0.97718,3.015,0.966,-2.837
0,idle,940,0.0477,0.01411,1.03156,1.911,0.671,-0.826
0,idle,960,0.05085,-0.03978,1.00404,-1.035,0.972,0.146
0,idle,980,0.02295,0.08193,0.99479,2.113,-3.415,2.492
1,idle,0,0.02005,0.04335,1.02224,3.464,-0.07,0.715
1,idle,20,-0.01874,-0.00572,0.9812,-1.111,-1.477,1.299
1,idle,40,0.00993,-0.01843,1.0222,-0.841,-0.471,-2.424
1,idle,60,0.00176,-0.05972,0.99081,-1.153,-1.138,2.68
1,idle,80,0.00767,-0.03567,0.98298,0.829,-0.221,0.751
1,idle,100,-0.03082,0.04049,1.02265,-1.189,-0.595,1.794
1,idle,120,0.02731,-0.00697,0.97444,-1.054,-1.582,0.354
1,idle,140,0.01598,0.06218,1.00348,-0.877,1.555,0.917
1,idle,160,-0.00126,0.01844,1.00021,-2.242,0.159,0.987
1,idle,180,0.02568,-0.0002,1.00456,-0.472,-1.816,1.083
1,idle,200,0.02143,0.02845,1.0011,2.19,2.5,0.087
1,idle,220,0.01206,-0.01691,1.02261,3.374,-0.478,-0.054
1,idle,240,0.01106,0.03449,1.00942,-2.111,2.012,-0.153
1,idle,260,0.05095,-0.00175,0.99545,-1.745,0.916,-1.653
1,idle,280,0.03722,-0.02239,0.99913,1.129,-1.658,-1.945
1,idle,300,-0.01696,-0.02629,1.0145,0.576,-0.179,1.304
1,idle,320,0.00029,-0.0296,0.9892,-2.204,1.412,0.603
